,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2368,347.886442970129,13.086900000000002,76408.94646623066,62841.514455795645,70418.56895987896
FT2369,348.063767775302,4.026427672322583,3435.3119028711903,3002.389331567528,2867.8245066319896
FT2370,348.216452876052,0.98446738179508,5779.422132642276,5572.110619950619,5566.31816542452
FT2371,348.387928497988,13.103533935546867,4886.398279539737,4439.07456198995,4260.768950041148
FT2373,348.284101366449,0.984466666667,4248.143822192794,2391.878322127462,1855.7402756888705
FT2374,348.887658048995,13.086900000000002,23553.823448262116,21400.794048524276,24050.657934955867
FT2376,348.973458899844,8.91421595458985,980.0507024085658,3837.5266891342594,4086.6822133538744
FT2378,349.124672340105,4.84112447102865,5061.315171158063,4394.834580847106,4586.634463887972
FT2383,349.23612884535,0.87640022404972,12653.500838839365,9713.469519975128,10155.275700439492
FT2385,350.038297871204,3.2270070393880164,1161.1731703469814,308.8156356615044,462.2399800959651
FT2387,350.114514471928,4.367287699381517,3033.054859435205,1681.8581363700164,2224.957565210338
FT2403,351.11015542118,4.375534057617184,12062.852193390343,8745.662424176073,9845.235443634941
FT2404,351.198730235483,5.37325,8138.713037649416,5925.7957457434495,5856.966792180653
FT2405,351.133783965342,4.0097910563151,3039.2192842427457,3129.3445673244637,3739.433306738073
FT2407,351.104861404269,1.15071881612142,2883.5601274821183,2022.9833745650053,1645.3937277562266
FT2408,351.181499480182,0.8099164588928217,13211.162544138626,11802.536858568346,9881.105663140408
FT2410,351.252380773101,0.8847171147664383,26651.422055834053,22100.65831291888,22996.557318820654
FT2414,351.942694417014,0.707314427693685,7302.8059501046355,3158.070259048496,2041.3457578554885
FT2415,352.085944613649,0.8265414588928216,13169.993720018861,11939.191029881571,11178.743655290642
FT2416,352.085812702319,0.919754219055175,12303.943548602469,10900.47967786956,10557.729136555481
FT2417,352.116984263655,4.367420670572916,2057.551148517929,1509.3822137355578,2080.7575512626304
